company_name,high,low,last_price,prev_close,change,percent_gain
Akums Drugs P,468.90,435.80,467.95,433.80,34.15,7.87
MOTHERSON,130.05,125.00,127.30,118.23,9.07,7.67
Mazagon Dock,"2,645.00","2,473.00","2,613.40","2,432.55",180.85,7.43
Mazagon Dock,"2,645.00","2,473.00","2,613.40","2,432.55",180.85,7.43
Sona BLW,464.85,450.00,461.55,430.10,31.45,7.31
360 ONE WAM,936.65,895.00,930.00,870.20,59.80,6.87
360 ONE WAM,936.65,895.00,930.00,870.20,59.80,6.87
Intellect Desig,709.00,676.65,705.55,660.60,44.95,6.8
KPIL,954.95,905.20,954.80,896.30,58.50,6.53
Macrotech Dev,"1,199.80","1,145.00","1,193.70","1,122.60",71.10,6.33
Home First,"1,136.50","1,061.10","1,125.70","1,059.00",66.70,6.3
Bharat Forge,"1,072.10","1,040.10","1,063.10","1,002.15",60.95,6.08
Anant Raj,477.95,447.00,465.50,439.20,26.30,5.99
KEC Intl,714.30,666.80,699.60,660.05,39.55,5.99
HFCL,80.57,77.51,80.51,76.01,4.50,5.92
Elgi Equipments,458.00,424.00,446.50,422.15,24.35,5.77
Garden Reach Sh,"1,741.00","1,631.30","1,707.50","1,615.10",92.40,5.72
Inox Wind,161.44,155.00,160.24,151.59,8.65,5.71
Just Dial,893.00,853.60,883.15,835.50,47.65,5.7
Kaynes Tech,"5,444.00","5,202.00","5,380.60","5,091.15",289.45,5.69
UNO Minda,872.40,822.75,870.55,824.15,46.40,5.63
Fortis Health,699.70,656.60,685.90,649.55,36.35,5.6
JSW Energy,521.50,499.75,521.45,493.95,27.50,5.57
Craftsman,"4,642.70","4,377.00","4,605.60","4,364.15",241.45,5.53
IndusInd Bank,727.90,693.05,727.60,689.50,38.10,5.53
Avanti Feeds,844.00,800.00,842.35,799.65,42.70,5.34
DLF,656.85,630.40,656.55,623.60,32.95,5.28
Data Patterns,"1,778.20","1,694.60","1,770.30","1,681.95",88.35,5.25
TITAGARH,786.00,757.05,785.25,746.95,38.30,5.13
Amber Enterpris,"6,930.00","6,735.50","6,857.00","6,530.05",326.95,5.01
MMTC Ltd,52.89,50.92,52.84,50.36,2.48,4.92
Tata Motors,628.30,612.65,623.85,595.05,28.80,4.84
Tata Motors,628.30,612.65,623.85,595.05,28.80,4.84
Mahindra Life,308.80,294.30,307.60,293.45,14.15,4.82
Netweb,"1,556.20","1,494.30","1,539.60","1,469.30",70.30,4.78
Phoenix Mills,"1,548.80","1,497.00","1,548.00","1,478.00",70.00,4.74
Aarti Ind,401.05,386.10,401.05,382.95,18.10,4.73
Devyani Int,163.66,157.76,163.30,155.92,7.38,4.73
Indian Renew,161.94,158.60,161.45,154.20,7.25,4.7
Hitachi Energy,"12,606.00","12,063.00","12,541.00","11,979.30",561.70,4.69
Larsen,"3,263.80","3,176.10","3,261.90","3,115.95",145.95,4.68
Sundaram Fin,"4,866.30","4,760.10","4,860.30","4,645.75",214.55,4.62
GlaxoSmithKline,"2,889.90","2,778.60","2,876.30","2,751.10",125.20,4.55
BLS Internation,377.60,364.80,375.25,359.10,16.15,4.5
Indian Hotels,824.00,802.85,824.00,788.60,35.40,4.49
NALCO,150.16,144.71,149.64,143.22,6.42,4.48
Redington,226.41,216.32,225.14,215.48,9.66,4.48
Jindal Steel,845.55,821.80,841.40,805.65,35.75,4.44
Sterling Wilson,265.25,252.55,262.00,250.85,11.15,4.44
Cochin Shipyard,"1,484.00","1,416.30","1,463.00","1,401.00",62.00,4.43
Cochin Shipyard,"1,484.00","1,416.30","1,463.00","1,401.00",62.00,4.43
Ircon Internati,157.25,153.05,156.23,149.60,6.63,4.43
Ircon Internati,157.25,153.05,156.23,149.60,6.63,4.43
Valor Estate,184.40,176.33,182.20,174.48,7.72,4.42
Prestige Estate,"1,174.90","1,126.00","1,172.50","1,122.85",49.65,4.42
Swan Energy,415.50,400.50,414.40,396.95,17.45,4.4
BSE Limited,"5,900.00","5,721.00","5,891.50","5,644.75",246.75,4.37
AstraZeneca,"8,872.50","8,485.50","8,826.00","8,457.40",368.60,4.36
Concord Biotech,"1,740.00","1,674.50","1,726.00","1,653.85",72.15,4.36
RBL Bank,181.30,174.05,181.00,173.50,7.50,4.32
Balkrishna Ind,"2,438.90","2,360.00","2,437.80","2,337.50",100.30,4.29
Sonata,330.00,319.30,329.05,315.55,13.50,4.28
Mastek,"2,299.00","2,205.00","2,288.60","2,196.20",92.40,4.21
Suven Pharma,"1,235.90","1,155.20","1,198.00","1,149.60",48.40,4.21
Cyient,"1,204.30","1,161.20","1,192.30","1,144.20",48.10,4.2
Sammaan Capital,112.48,109.38,112.33,107.80,4.53,4.2
M&M,"2,689.00","2,606.00","2,688.80","2,580.35",108.45,4.2
Bombay Burmah,"1,906.20","1,851.00","1,902.40","1,826.25",76.15,4.17
GSFC,183.50,177.80,182.90,175.62,7.28,4.15
Power Finance,418.70,407.70,417.40,400.75,16.65,4.15
Tata Power,380.55,372.30,379.50,364.45,15.05,4.13
Endurance Techn,"1,942.60","1,882.00","1,937.00","1,860.40",76.60,4.12
GAIL,179.20,174.88,178.79,171.71,7.08,4.12
Supreme Ind,"3,298.80","3,206.10","3,298.80","3,168.50",130.30,4.11
PTC Industries,"13,853.00","13,335.00","13,817.00","13,273.00",544.00,4.1
Shriram Finance,669.80,649.15,664.85,638.80,26.05,4.08
Shriram Finance,669.80,649.15,664.85,638.80,26.05,4.08
CDSL,"1,220.00","1,180.00","1,215.40","1,168.00",47.40,4.06
